"user","ecletic","clusters_total","clusters","media_pop","mediana_pop","dp_pop","news","news_total","old","old_total","count_sim.x","tempo_sim.x","count_pop.x","tempo_pop.x","count_sim.y","tempo_sim.y","count_pop.y","tempo_pop.y"
"aalicen",1325.84235021,69,27,5.5378913859,5.65196768412,0.628843482554,22,22,85,88,0.199566630043301,0.152175351380629,-0.104121720022592,0.265219898120525,0.275543165063995,0.217477858091907,0.135949577879997,0.143299363859009
"aalinerabelo",1154.85295998,57,23,5.91012689117,6.02339157625,0.523673555809,39,39,68,78,-0.0985155195681512,-0.0501359155935845,0.211875843454791,0.391602151528268,0.235113303839582,0.1457836625622,0.149857264690275,0.0497690449230473
"aamock",1095.14880497,67,23,5.6160248087,5.79891983839,0.727526003804,60,60,54,56,0.116780214234085,0.235363434786892,0.083262802325815,0.160752127472939,0.366118507758363,0.437812746262795,0.199440363284049,0.223396145986074
"aamoroz",1558.06125831,53,22,5.28523124915,5.24449483212,0.678649453524,24,24,60,61,-0.170599192030547,-0.00362977004320314,0.315789993758673,0.163339651944141,0.0418788974817675,0.138637795852396,0.113122244324876,0.0545151923706648
"aarion81",1277.00099818,71,26,5.49484952169,5.55827992314,0.588513345566,45,45,108,113,0.21010101010101,0.111562784156637,0.0282828282828283,0.0507103564348348,0.146358388372553,0.17888252997037,0.0478004964026003,0.0508815976265575
"AaronArnold",3910.53145947,206,78,5.14834137072,5.31842840553,0.885528470281,89,92,167,213,0.123993434989063,0.0786014080026532,0.080531818601144,0.0255132439090579,0.266787059937583,0.27273543366743,0.212908870736314,0.212771863111725
"aaronfrank",2152.91435239,97,42,5.50999071166,5.537593707,0.58111508509,56,56,117,125,-0.0214634248487472,0.0542314799458041,0.0754226905584934,-0.00914450810221576,0.238808281455789,0.187514553610216,0.0895346675995455,0.113927281980675
"Aarong88",1087.80538431,34,19,5.97760175827,6.08811375298,0.427702088076,10,10,94,97,0.155555555555556,0.134839972492648,-0.0666666666666667,0.0898933149950989,0.244164766118186,0.269223331542893,0.0995423367023532,0.108561496862565
"AaronHimself",1253.36263735,38,18,5.29913162899,5.33433108585,0.567859574071,10,10,96,104,0.155555555555556,0.111111111111111,-0.555555555555556,-0.688888888888889,0.21066574203488,0.219392425469372,0.106535015522394,0.134750653368428
"aaronjarred",1652.04845314,69,30,5.81363308701,5.91780159009,0.595907241868,41,42,124,134,0.0170731707317073,0.0564427799938105,-0.0902439024390244,-0.132517831289816,0.15588505579679,0.125411049652568,-0.00682146189516426,0.0147194479606403
"aaronspud",1143.08334239,44,20,5.68869766532,5.84355230625,0.694563678094,18,18,120,126,0.23606684260939,0.171618096366172,-0.150326797385621,-0.256584500244042,0.274262523358225,0.273476040682511,0.0549327440560256,0.121927942788557
"aaronysaiki",762.952158095,28,16,6.03796204496,6.10455300162,0.437646025335,38,38,130,134,-0.0868946750581561,-0.0242511686024976,0.0128205258282525,-0.0242511686024976,0.196932667602314,0.220666318406265,0.218999936801742,0.198455859709798
"Abaffiato",361.026701804,25,7,5.91128988869,6.12577128746,0.638591395,23,23,40,43,0.106719367588933,0.0595242781912362,0.41501976284585,0.297621390956181,0.443589743589744,0.406695438079489,-0.0512820512820513,-0.180181523199774
"abaker009",554.663178751,15,9,5.50058832403,5.70007777842,0.622670486512,12,12,49,53,0.137408583724303,0.41222575117291,0.212121212121212,0.242424242424242,0.394557823129252,0.328060086535442,0.33843537414966,0.266388216481782
"aBAM",1567.06546363,76,32,5.68190106794,5.71032472719,0.49896631927,16,16,94,95,0.0333333333333333,-0.142260659488473,0.05,0.142260659488473,0.331348891001876,0.341776868328245,0.0441951181502157,0.0669697917670209
"abbaaa",2602.25378505,117,60,5.70909031393,5.79761371035,0.558479477855,19,19,97,101,0.263157894736842,0.281526137231115,0.309941520467836,0.164223580051484,0.114789380353018,0.116785785595602,0.0193465247785985,-0.0340445648046221
"abbabes",2210.0826697,84,42,5.61494116163,5.80391354114,0.693537717914,30,32,73,128,-0.101500030932349,-0.129136803898489,-0.0230681888482611,-0.00704382566719033,0.163459780770468,0.181334826999682,-0.0601905154985808,-0.0321970975624762
"abbeypancake",772.229525852,39,14,5.65053965856,5.81298951853,0.653340687889,16,17,117,128,0.0666666666666667,0.125524111313358,0.05,0.0753144667880151,0.309734567178252,0.278025724648691,0.0244801718222107,0.0449507257166619
"abbi-mac",815.767976087,33,15,6.00808820923,6.08276778283,0.36773109007,15,15,74,77,0.24880667576406,0.0765559002350953,-0.114833850352643,-0.0191389750587738,0.227862186814501,0.219128055319043,0.144471220673271,0.19049471354945
