"","user","fam_novid","fam_conhec","pop_novid","pop_conhec"
"188","adc124",0.180409809085775,-0.00126275919161952,-0.018490006540841,0.0555614044312588
"189","Addinski16",0.333333333333333,0.272228769183035,-0.0666666666666667,0.0611345980992285
"190","AddisonMarieD",0.0284914089025152,0.166004632529911,0.0901449494784496,-0.0217807496581798
"191","ADeadSilence",0.0666666666666667,0.247332272770876,-0.2,-0.0658927701423657
"192","AdekSonOfSatan",0.103852742008219,0.210387833408841,-0.0936460086926912,0.0979143821620223
"193","adf___",-0.0401236478992506,0.445701403093858,0.280865535294754,0.0909502355551934
"194","ADi305",0.00738012404616746,-0.164740273526565,-0.147058823529412,0.264367816091954
"195","adik303",0.0494669509594883,0.284081128510001,0.15305905272098,-0.0290328453159728
"196","adiknoepfel",0.0546456246234968,0.251815307628644,0.0837899577560284,0.111831991185108
"197","AdiLDZ",0.105868884826494,0.19213239994212,0.00229885057471264,0.0892403777218657
"198","adimeadozen",0.0897100748053513,0.309041142284281,0.168421052631579,0.00437876890265591
"199","adju",0.206666666666667,0.216748768472906,0.206666666666667,-0.137931034482759
"200","adminoer",0.0862243228429669,0.121401137124045,0.0296396109772699,0.146511518756007
"201","admit_this",0.0952276170937089,0.0409982174688057,0.0240234230619133,0.0695187165775401
"202","admittingfear",-0.1699604743083,0.374748040541805,0.0671936758893281,0.136129300184845
"203","adms87",-0.284697581007742,0.169834019828596,-0.0911032259224775,0.169312188898328
"204","ADobrini",-0.363636363636364,0.0491157212780333,0,0.250429541825034
"205","adore_adorre",-0.239766081871345,0.115216566312028,0.333333333333333,-0.0283517205061012
"206","adrenny",0.0556206088992974,0.0561374815714558,0.0912547879810563,-0.0521502647292893
"207","adriand88",0.11843137254902,0.251978433568296,0.127843137254902,0.0873865137536031
"208","Adriano-D",0.0620064372822229,0.298808209120951,0.185380148657735,0.185590861508321
"209","Adriano_Meis",-0.114624505928854,0.278441528196263,0.0988142292490119,0.177496341553492
"210","adrianpw",-0.320620028690041,0.234458629170067,0.198479065379549,-0.0301954295143268
"211","adrigispen",0.0417053543130505,0.112529950224484,0.178869630720417,0.0415264337064006
"212","adrisha",0.189889170247903,0.134498012338208,0.258939777610777,0.0128394033687491
"213","adskajapanda",0.214569724634725,0.190204081632653,0.201058201058201,0.144489795918367
"214","Adthey",-0.0953896277050255,0.161632167897261,0.0445151595956786,0.144511827762689
"215","ADTlolololol",0.117647058823529,0.0492063499716374,-0.0621541588204846,0.036860670767284
"216","adykins",-0.2,0.0541500701979496,-0.127272727272727,-0.0701287794366888
"217","adyreyes",0.0648658125096616,0.0655394184124324,0.198921825029629,0.155993821839667
"218","adz1306",-0.0158403312674202,0.00443012484897302,0.23611354855351,0.212962980220188
"219","aedubs",-0.0549450549450549,0.153078226539646,-0.010989010989011,0.238359348257519
"220","aeneisis",0.021978021978022,0.171772531693103,0.0158633342521865,-0.263676306611706
"221","Aeonfall",-0.037037037037037,0.277786043717186,0.174603174603175,0.169243924697573
"222","Aequitaz",-0.0947368421052632,0.0944634027513564,-0.0736842105263158,-0.108756980963047
"223","aERodynamIC4u",-0.0363510478009672,0.200999654863171,0.0900121183642996,0.174727212160186
"224","aerow69",0.102564102564103,0.0912252672042992,0.153846153846154,0.0369132087349564
"225","Aerynus",-0.130434782608696,0.194205602458703,0.101449275362319,-0.0248981541613721
"226","aeryxz",-0.0181818181818182,0.344827867428716,-0.2,0.174542500797251
"227","aeternium",-0.00385357170038587,0.0998713662212293,0.258189303925853,0.0748363037892774
"228","afacademusing",0.0222222222222222,0.209600249448272,0.2,0.206513353285558
"229","affarer",0.1,0.305050505050505,0.2,0.21010101010101
"230","afiehrer",-0.0715992492619409,0.142437901918879,-0.109785515534976,0.0621041611403356
"231","afishcallednat",-0.154972573079053,0.2874326994751,0.00122025648093742,0.259121261789128
"232","afonsohenrie",-0.0445632798573975,0.274124880251848,0.0481283422459893,0.235599221405643
"233","afontenot15",0.128205128205128,0.244220136685873,0.230769230769231,0.0904066235794611
"234","afr0sir27",0.0307422729510238,0.108030194628661,0.182821304629097,0.172961168175007
"235","afro69",0.0196078431372549,0.122864485997075,0.0065359477124183,0.137205090708205
"236","afryyka",0.138160884746792,0.325921814756166,0.217109961744959,0.25570526579613
"237","ag-",-0.0549450549450549,0.274262027230074,0.274725274725275,0.0572030189539725
"238","agabel",0.466666666666667,0.247304638358271,0.183333333333333,0.0667116054426944
"239","agaiam",0.161904761904762,0.471510449905732,-0.00952380952380952,0.0584046176620394
"240","Aganemnons",0.220192753025272,0.266414149338969,0.220192753025272,0.133334037548518
"241","agarciar",0.146819770650516,0.0627592054636171,-0.00239120147639277,0.00299973709338751
"242","Agaseng",0.333333333333333,0.334119251016497,-0.087719298245614,0.018861570621899
"243","agathax1",0.257142857142857,0.0433857972042087,-0.219047619047619,-0.0467886048280682
"244","agattah",0.227237408469521,0.285321167071166,0.113300492610837,0.149906337799172
"245","AgentCooper55",0.299196050185127,0.240731279768962,0.257447764112784,0.126867141600869
"246","agentsoul",0.0842105263157895,0.415406407936448,0.0315789473684211,0.0857833544488728
"247","AgentZero",-0.0142857725951092,0.195148468177943,0.100000408165764,0.108745000104454
"248","Aggi_1",0.24880667576406,0.350204081632653,0.191389750587738,0.0742857142857143
"249","aggukla",0.205522053649062,0.242539936977593,0.230419582433977,0.047846020482611
"250","agirloncesaid",0.05,0.269713646647145,-0.116666666666667,0.0466300298579148
"251","AgneesTheo",0.241059814095803,0.232062789383411,-0.142857142857143,0.0378204233994761
"252","Agness24",-0.133333333333333,0.0135746693189851,0.183333333333333,-0.0294117835244677
"253","agneteemilie",0.451622302330946,0.204409570085306,0.0645174717615637,0.170169066840915
"254","agniechu",0.0324105408116914,0.138773121393715,0.153950068855534,0.0250347947280422
"255","AgonyFear",-0.102941176470588,0.239278262000231,0.279411764705882,0.0510510510510511
"256","agora1361",0.127597888272423,0.0668840491721053,-0.0753987521609775,0.0571794917778947
"257","aguerra",0.242424242424242,0.276595754840542,0.181818181818182,0.0787369591192331
"258","AgusFiladelfia",0.286549707602339,0.289318857581839,-0.228070175438596,0.146341515172209
"259","agustingt21",-0.127272727272727,0.190354785103554,-0.0545454545454545,0.228455742878418
"260","aha_datura",-0.0379629792365344,0.189417039882797,0.19722230676541,0.254870721688869
"261","Ahall75",0.178947368421053,0.151011459974525,0.0315789473684211,-0.0697648821733542
"262","ahaltergratis",-0.288888888888889,0.111216459923378,-0.288888888888889,0.16889551650583
"263","ahbxd",0.0196374703013513,0.318940945682023,0.128847601857499,0.257483886381168
"264","AHDPEY",-0.151515151515152,0.186608127438832,-0.212121212121212,-0.0272168568920105
"265","AHDPEYKA",0.0065359477124183,0.0717948717948718,-0.0588235294117647,-0.0282051282051282
"266","ahghawi",-0.209837193430569,0.214230878199016,-0.0588235294117647,0.113945578231293
